run,kind,lead,bodies,share,mass,pace,grass,seed,browse,algae,litter,e_grass,e_seed,e_browse,e_algae,e_litter,kills
D+B+Fb 10,mixed / tooth / roams / shore,grass,6993,0.054258,35.31,0.667,0.43305,0.16373,0.10596,0.017261,0.28,0.31689,0.28327,0.075736,0.023296,0.30081,0.37021
D+B+Fb 10,plant / no tooth / roams / surface,algae,6298,0.048865,30.99,0.706,0.012498,0.00039832,3.8983e-05,0.98706,0,0.0065614,0.00051717,1.8047e-05,0.9929,0,0.11334
D+B+Fb 10,mixed / no tooth / roams / shore,litter,5770,0.044769,32,0.7,0.15273,0.001308,2.7465e-05,0.0015771,0.84435,0.10298,0.0022104,2.0322e-05,0.0020662,0.89272,0.4244
D+B+Fb 10,plant / tooth / roams / land,grass,5760,0.044691,41.1,0.618,0.54369,0.17551,0.24522,0.00054049,0.035036,0.43345,0.33092,0.19302,0.00080372,0.041797,0.24779
D+B+Fb 10,mixed / no tooth / stays / bottom,litter,4400,0.034139,31.04,0.707,0.0236,0.00050762,3.1011e-05,0,0.97586,0.015511,0.00081481,2.0764e-05,0,0.98365,0.31825
D+B+Fb 10,plant / tooth / roams / shore,grass,4220,0.032742,35.505,0.664,0.47683,0.16419,0.11929,0.09269,0.147,0.34569,0.28543,0.08539,0.12459,0.1589,0.23505
D+B+Fb 10,mixed / no tooth / roams / bottom,litter,3242,0.025154,32,0.704,0.029818,0.00045445,4e-07,0,0.96973,0.019185,0.00073717,2.5282e-07,0,0.98008,0.37816
D+B+Fb 10,plant / no tooth / roams / shore,algae,3168,0.02458,33.94,0.675,0.20529,0.0047681,0.00032632,0.49129,0.29832,0.1322,0.0072012,0.00020787,0.5795,0.28089,0.14235
D+B+Fb 10,mixed / tooth / roams / bottom,litter,2230,0.017302,23.23,0.818,0.018775,0.0064284,0.0010419,0.00087895,0.97288,0.01215,0.010519,0.00065444,0.0011038,0.97557,0.30877
D+B+Fb 10,mixed / tooth / stays / shore,grass,2189,0.016984,40.5,0.62,0.51844,0.21084,0.046263,0.012145,0.21231,0.37453,0.35113,0.033394,0.015766,0.22519,0.3119
D+B+Fb 10,mixed / tooth / stays / land,grass,2160,0.016759,65.09,0.4915,0.66042,0.25341,0.044137,0.0051785,0.036854,0.50212,0.41824,0.032583,0.0067155,0.040341,0.33245
D+B+Fb 10,plant / no tooth / stays / land,grass,1416,0.010987,73.41,0.464,0.83372,0.10543,0.001119,0.0036302,0.056102,0.7301,0.1948,0.0010143,0.0052803,0.0688,0.073284
D+B+Fb 10,mixed / no tooth / stays / shore,litter,1245,0.0096598,32,0.7,0.14426,0.020339,0.0075255,0.0014135,0.82646,0.1014,0.033443,0.005752,0.0018399,0.85757,0.31793
D+B+Fb 10,plant / tooth / roams / bottom,litter,628,0.0048726,23.79,0.805,0.012899,0.0067456,0.00051903,0,0.97984,0.0089992,0.010924,0.00039639,0,0.97968,0.20869
D+B+Fb 10,mixed / tooth / stays / bottom,litter,509,0.0039493,24.87,0.789,0.017385,0.0059021,5.6307e-05,0,0.97666,0.011668,0.0096236,3.5547e-05,0,0.97867,0.31152
D+B+Fb 10,flesh / no tooth / roams / shore,litter,392,0.0030415,32,0.706,0.16976,0.0022859,6.6741e-05,0,0.82788,0.11406,0.003929,4.5439e-05,0,0.88196,0.65187
D+B+Fb 10,plant / no tooth / stays / surface,algae,380,0.0029484,30.5,0.7185,0.047893,0.00028125,0,0.95183,0,0.026355,0.00037121,0,0.97327,0,0.092697
D+B+Fb 10,flesh / no tooth / stays / shore,litter,292,0.0022656,32,0.704,0.12239,0,0,0,0.87761,0.080743,0,0,0,0.91926,0.64813
D+B+Fb 10,flesh / no tooth / roams / bottom,litter,230,0.0017845,32,0.705,0.043718,0,0,0,0.95628,0.027954,0,0,0,0.97205,0.71298
D+B+Fb 10,plant / tooth / stays / bottom,litter,184,0.0014276,24.23,0.7995,0.037137,0.010798,0.0013695,0,0.9507,0.022663,0.017232,0.00080295,0,0.9593,0.18106
D+B+Fb 10,mixed / no tooth / roams / surface,algae,108,0.00083796,13.99,1,0.0028636,0.010096,0,0.98704,0,0.0014803,0.013223,0,0.9853,0,0.36742
D+B+Fb 10,plant / tooth / stays / surface,algae,76,0.00058967,30.12,0.7245,0.013101,0.0018139,1.542e-05,0.98507,0,0.0079394,0.0023518,8.4432e-06,0.9897,0,0.20502
D+B+Fb 10,plant / tooth / roams / surface,algae,69,0.00053536,48.64,0.571,0.039465,0.018804,4.415e-05,0.94169,0,0.021735,0.024291,2.3717e-05,0.95395,0,0.2739
D+B+Fb 10,flesh / no tooth / stays / bottom,litter,36,0.00027932,32,0.702,0.096249,0,0,0,0.90375,0.06446,0,0,0,0.93554,0.62099
D+B+Fb 10,mixed / no tooth / stays / land,grass,21,0.00016294,56.31,0.527,0.78003,0.15827,0.0012052,0,0.060488,0.6511,0.27991,0.0010863,0,0.067906,0.28038
D+B+Fb 10,plant / no tooth / roams / land,grass,11,8.5347e-05,32,0.674,0.91157,0.053374,0.0010026,0,0.034053,0.83197,0.1194,0.0010055,0,0.047629,0.076417
D+B+Fb 10,flesh / no tooth / stays / land,litter,11,8.5347e-05,30,0.725,0.53635,0,0,0.069345,0.39431,0.41281,0,0,0.103,0.48419,0.37493
D+B+Fb 10,mixed / no tooth / roams / land,grass,11,8.5347e-05,61.11,0.512,0.88008,0.042479,0.042214,0,0.035232,0.82587,0.087879,0.03799,0,0.048258,0.32867
D+B+Fb 10,flesh / no tooth / roams / land,grass,8,6.2071e-05,29,0.743,1,0,0,0,0,1,0,0,0,0,0.75918
D+B+Fb 10,mixed / no tooth / stays / surface,algae,7,5.4312e-05,37.68,0.647,0.00027721,0,0,0.99972,0,0.00015554,0,0,0.99984,0,0.38773
D+B+Fb 10,flesh / tooth / roams / bottom,litter,6,4.6553e-05,42.61,0.61,0.0015674,0.0020507,2.9296e-05,0,0.99635,0.0010344,0.0032777,1.9397e-05,0,0.99567,0.61126
D+B+Fb 10,mixed / tooth / roams / surface,algae,4,3.1035e-05,35.265,0.669,0.095506,0.30998,0.00082627,0.59368,0,0.046625,0.38454,0.00040472,0.56843,0,0.46339
D+B+Fb 10,flesh / tooth / roams / land,seed,3,2.3277e-05,42.39,0.614,0.60171,0.30185,0.09644,0,0,0.42686,0.50465,0.068484,0,0,0.69477
D+B+Fb 10,flesh / tooth / stays / land,seed,2,1.5518e-05,73.555,0.4715,0.48165,0.3592,0.15915,0,0,0.34391,0.54982,0.10627,0,0,0.70454
D+B+Fb 10,flesh / tooth / roams / shore,seed,2,1.5518e-05,34,0.6885,0.38618,0.35107,0.06059,0,0.20216,0.2381,0.53469,0.037805,0,0.18941,0.80099
D+B+Fb 10,flesh / no tooth / roams / surface,algae,1,7.7589e-06,23.83,0.817,0.004237,0,0,0.99576,0,0.0020126,0,0,0.99799,0,0.71878
D+B+Fb 10,flesh / tooth / stays / bottom,litter,1,7.7589e-06,22.37,0.839,6.9764e-05,0,0,0,0.99993,4.3154e-05,0,0,0,0.99996,0.59015
D+B+Fb 10,mixed / tooth / stays / surface,grass,1,7.7589e-06,91.19,0.416,0.6663,0.1135,9.1865e-05,0.22011,0,0.5334,0.18103,7.3541e-05,0.2855,0,0.4201
D+B+Fb 11,plant / no tooth / stays / bottom,litter,26394,0.21478,31,0.706,0.014342,0.00023185,2.7638e-06,1.4323e-06,0.98542,0.0094817,0.00037322,1.7925e-06,1.7956e-06,0.99014,0.069212
D+B+Fb 11,plant / no tooth / stays / shore,litter,14061,0.11442,36,0.659,0.41877,0.04708,0.00073977,0.033952,0.49946,0.32413,0.08163,0.0005592,0.045881,0.54781,0.069329
D+B+Fb 11,plant / tooth / stays / land,grass,13163,0.10711,54.98,0.535,0.67561,0.24692,0.031271,0.0037843,0.042412,0.51005,0.4155,0.023101,0.0049974,0.046347,0.19328
D+B+Fb 11,mixed / tooth / roams / land,grass,11305,0.091994,41.29,0.617,0.58664,0.1995,0.17496,0.0012101,0.037692,0.45175,0.36932,0.13312,0.0017394,0.044071,0.37469
D+B+Fb 11,mixed / no tooth / roams / bottom,litter,10541,0.085777,32,0.701,0.020126,9.3514e-05,2.8734e-08,0,0.97978,0.012964,0.00015076,1.97e-08,0,0.98689,0.38883
D+B+Fb 11,plant / no tooth / roams / surface,algae,9344,0.076037,24,0.8045,0.0065851,0.00048846,2.0752e-06,0.99275,0.00017701,0.0033923,0.00063689,1.0909e-06,0.99583,0.00013816,0.14139
D+B+Fb 11,mixed / no tooth / roams / shore,litter,6714,0.054635,32,0.7,0.14684,0.0042623,5.5532e-05,0,0.84884,0.09855,0.0071795,3.8386e-05,0,0.89423,0.38538
D+B+Fb 11,mixed / tooth / roams / shore,grass,5068,0.041241,40.375,0.626,0.52052,0.20648,0.072345,0.0040063,0.19664,0.37644,0.35544,0.051956,0.0053496,0.21081,0.37922
D+B+Fb 11,plant / no tooth / roams / bottom,litter,4973,0.040468,32,0.7,0.011661,0.00056854,2.0825e-07,0,0.98777,0.0075047,0.00091063,1.2368e-07,0,0.99158,0.16701
D+B+Fb 11,mixed / tooth / stays / land,grass,4082,0.033217,52.145,0.549,0.67692,0.24045,0.042635,0.00041519,0.039587,0.51104,0.41307,0.031834,0.00056183,0.043501,0.3219
D+B+Fb 11,plant / tooth / stays / shore,grass,3418,0.027814,43.82,0.598,0.57941,0.21224,0.022632,0.0039336,0.18178,0.4288,0.35518,0.01617,0.005141,0.19471,0.1622
D+B+Fb 11,mixed / no tooth / stays / bottom,litter,3222,0.026219,32,0.704,0.012407,0.00060269,7.5543e-06,0,0.98698,0.0080286,0.00096781,5.8287e-06,0,0.991,0.28037
D+B+Fb 11,mixed / no tooth / stays / shore,litter,2153,0.01752,32,0.701,0.16482,0.024546,0.00090848,0,0.80972,0.11487,0.040981,0.00063436,0,0.84351,0.33054
D+B+Fb 11,plant / no tooth / roams / shore,litter,2123,0.017276,32,0.688,0.37588,0.01966,0.00052655,0.14825,0.45568,0.27338,0.033909,0.00038991,0.19796,0.49436,0.18289
D+B+Fb 11,mixed / tooth / stays / shore,grass,1826,0.014859,44.44,0.594,0.47271,0.18587,0.016907,0.009407,0.3151,0.34493,0.30437,0.012235,0.011975,0.32649,0.32315
D+B+Fb 11,plant / no tooth / stays / surface,algae,1138,0.0092605,30,0.724,0.009364,0.0001129,0,0.99052,0,0.0048765,0.00014662,0,0.99498,0,0.11522
D+B+Fb 11,plant / tooth / roams / land,grass,1070,0.0087071,46.92,0.579,0.64111,0.22524,0.10841,0.00079972,0.024441,0.49003,0.39942,0.081952,0.0011197,0.02748,0.25146
D+B+Fb 11,plant / tooth / roams / shore,litter,598,0.0048662,36.14,0.6565,0.43493,0.15848,0.044126,0,0.36246,0.31592,0.26667,0.03112,0,0.38629,0.26163
D+B+Fb 11,plant / no tooth / stays / land,grass,499,0.0040606,53.99,0.54,0.81744,0.1228,0.002472,0.0074356,0.04985,0.70037,0.22626,0.0021969,0.011059,0.060114,0.053531
D+B+Fb 11,mixed / tooth / roams / bottom,litter,370,0.0030109,20.93,0.8655,0.031796,0.01435,0.0023779,0,0.95148,0.019911,0.023744,0.0015151,0,0.95483,0.37534
D+B+Fb 11,flesh / no tooth / roams / bottom,litter,334,0.0027179,32,0.7035,0.023875,0,0,0,0.97612,0.015673,0,0,0,0.98433,0.69331
D+B+Fb 11,flesh / no tooth / roams / shore,litter,179,0.0014566,30,0.716,0.45422,0,0,0,0.54578,0.34662,0,0,0,0.65338,0.67491
D+B+Fb 11,flesh / no tooth / stays / bottom,litter,89,0.00072424,32,0.702,0.0056803,0,0,0,0.99432,0.0034524,0,0,0,0.99655,0.49357
D+B+Fb 11,mixed / no tooth / stays / land,grass,53,0.00043129,30.05,0.719,0.79242,0.0964,0.00076033,0,0.11042,0.66569,0.19337,0.0006552,0,0.14028,0.40133
D+B+Fb 11,mixed / tooth / stays / bottom,litter,52,0.00042315,32,0.6965,0.0031703,0.0013194,5.6121e-05,0,0.99545,0.0019638,0.0021049,3.6701e-05,0,0.99589,0.48114
D+B+Fb 11,plant / no tooth / roams / land,grass,31,0.00025226,32,0.699,0.80692,0.11596,0.0020594,0,0.075056,0.66166,0.23989,0.0017055,0,0.096746,0.16414
D+B+Fb 11,flesh / no tooth / stays / shore,litter,14,0.00011392,26,0.782,0.2206,0.039875,0,0,0.73952,0.14828,0.068891,0,0,0.78283,0.60505
D+B+Fb 11,flesh / tooth / stays / bottom,litter,13,0.00010579,30,0.724,0,0,0,0,1,0,0,0,0,1,0.53004
D+B+Fb 11,plant / tooth / stays / surface,algae,12,9.765e-05,19.57,0.8875,6.6389e-06,0.00020083,0,0.99979,0,4.3573e-06,0.00026039,0,0.99974,0,0.12655
D+B+Fb 11,mixed / no tooth / roams / land,grass,11,8.9512e-05,32,0.703,0.88335,0,0,0,0.11665,0.82438,0,0,0,0.17562,0.43242
D+B+Fb 11,plant / tooth / roams / surface,algae,9,7.3237e-05,33.66,0.684,0,0,0,1,0,0,0,0,1,0,0.30071
D+B+Fb 11,flesh / no tooth / roams / land,grass,8,6.51e-05,31,0.7175,0.70646,0,0,0,0.29354,0.59962,0,0,0,0.40038,0.79404
D+B+Fb 11,plant / tooth / stays / bottom,litter,5,4.0687e-05,34,0.678,0,0,0,0,1,0,0,0,0,1,0.20089
D+B+Fb 11,flesh / no tooth / stays / land,grass,4,3.255e-05,31,0.716,1,0,0,0,0,1,0,0,0,0,0.71967
D+B+Fb 11,mixed / tooth / roams / surface,algae,3,2.4412e-05,25.92,0.775,0,0,0,1,0,0,0,0,1,0,0.51882
D+B+Fb 11,flesh / tooth / roams / bottom,litter,3,2.4412e-05,28.75,0.744,0,0,0,0,1,0,0,0,0,1,0.8255
D+B+Fb 11,plant / tooth / roams / bottom,litter,3,2.4412e-05,33.31,0.682,0,0,0,0,1,0,0,0,0,1,0.10127
D+B+Fb 11,mixed / no tooth / stays / surface,algae,2,1.6275e-05,40.035,0.6305,0,0,0,1,0,0,0,0,1,0,0.35318
D+B+Fb 11,flesh / tooth / roams / land,seed,1,8.1375e-06,28,0.745,0.40294,0.59152,0.0055404,0,0,0.21041,0.7867,0.0028931,0,0,0.70823
