step,id,lineage,age,turns,mass,size,side,density,born_size,born_mass,born_hard,born_muscle,born_sensor,born_digestive,born_bite,hard,muscle,sensor,digestive,bite,bite_any,shell,speed,energy,fat,plant,meat,killed,scavenged,travel,path,worn,pace,place,born_place,temp,moist,height,medium,algae,detritus,water,drank,open_soft,breath,inhaled,breed,share,store,kids,btemp,warmed,cooled,wood,load,cells
10000,1360603,904,4355,3086,7.68,5,6,1.535,36,55.27,0,25,0,11,0,0,2,0,3,0,0,1.00,0.261,0.000,13.800,128.069,23.552,2.394,21.158,4.25,4.25,10,1.000,11,11,31.7,0.000,-21,2,0.000,128.069,1.000,3086,14,1.000,820,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,000000000000000000002000000442000040
10000,1361908,837,4334,2548,31.98,10,4,1.683,16,52.17,15,0,0,1,0,9,0,0,1,0,0,5.44,0.000,4.527,2.076,50.335,35.886,35.261,0.625,0.00,0.00,6,0.707,8,8,22.6,0.917,1446,0,0.000,0.000,0.591,0,1,1.000,2548,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,1000101110410111
10000,1379276,854,4094,2395,38.06,20,5,1.903,25,47.58,0,0,0,25,0,0,0,0,20,0,0,1.00,0.000,0.262,55.921,68.633,71.959,42.487,29.472,0.00,0.00,5,0.648,11,11,35.3,0.000,-31,2,0.000,68.633,1.000,2395,32,1.000,2395,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,4040444444440404444444404
10000,1400687,854,3843,2405,33.27,18,5,1.848,25,46.20,0,11,0,14,0,0,7,0,11,0,0,1.00,0.210,0.000,7.451,75.571,92.030,71.264,20.767,130.75,130.75,5,0.694,14,11,37.1,0.000,-913,2,0.000,75.571,1.000,2362,30,1.000,146,0.1000,0.5000,5.000,8,22.50,0.0000,0.0000,0.000,0.00,2200222220004404444440444
10000,1401622,814,3830,3336,3.46,3,5,1.385,25,25.63,0,0,13,12,0,0,0,1,2,0,0,1.00,0.000,0.234,12.328,131.522,39.586,0.000,39.586,0.00,0.00,10,1.000,11,11,38.2,0.000,-44,2,0.000,131.521,1.000,3336,10,1.000,1982,0.1000,0.5000,5.000,2,22.50,0.0000,0.0000,0.000,0.00,0000000030000040000400000
10000,1403225,1,3807,2118,35.91,35,9,1.026,70,71.81,0,7,0,63,0,0,2,0,33,0,0,1.00,0.056,0.000,45.353,139.439,33.626,11.228,22.398,0.00,0.00,3,0.668,7,10,14.5,0.491,6,0,0.000,139.433,1.000,2118,34,1.000,2118,0.1000,0.5000,5.000,0,22.50,0.0000,0.0000,0.000,0.00,000044444000044444000444444000444400000444400000444400000444000000404000000022000
10000,1404882,323,3782,1759,70.93,45,10,1.576,49,77.23,0,25,0,24,0,0,22,0,23,0,0,1.00,0.310,3.109,30.560,128.635,127.139,120.972,6.167,27.50,27.50,2,0.475,10,7,14.3,0.000,-105,2,0.000,128.635,1.000,1738,40,0.845,1590,0.1000,0.5000,5.000,11,22.50,0.0000,0.0000,0.000,0.00,2222222220222222222022244000002444000000444400000044400000004440000000444000000044000000004440000000
10000,1407531,560,3740,1820,59.51,43,8,1.384,55,76.12,0,0,0,55,0,0,0,0,43,0,0,1.00,0.000,0.000,86.410,211.467,32.241,6.634,25.607,0.00,0.00,4,0.519,11,11,33.2,0.000,-4,2,0.000,211.467,1.000,1820,42,1.000,1820,0.1000,0.5000,5.000,7,22.50,0.0000,0.0000,0.000,0.00,0444444444444044444440004444400044044400444444004444444400000000
10000,1410717,323,3688,2073,39.50,24,9,1.646,38,62.54,0,20,0,18,0,0,14,0,10,0,0,1.00,0.354,0.000,40.721,97.131,167.464,134.137,33.327,25.00,25.00,1,0.636,8,11,11.1,0.968,11,0,0.000,97.129,1.000,2073,32,1.000,1110,0.1000,0.5000,5.000,15,22.50,0.0000,0.0000,0.000,0.00,000022222022220222244440002444000000444000000000000000000000000000000000000000000
10000,1412694,895,3654,3513,2.56,2,8,1.281,25,32.03,0,0,0,25,0,0,0,0,2,0,0,1.00,0.000,0.000,8.716,85.227,42.402,0.222,42.180,0.00,0.00,6,1.000,11,11,36.0,0.000,-68,2,0.000,85.227,1.000,3513,8,1.000,0,0.1000,0.5000,5.000,4,22.50,0.0000,0.0000,0.000,0.00,0000000000000000000000000000000004000000400000000000000000000000
10000,1415060,928,3611,2503,31.24,28,6,1.116,30,33.47,0,2,0,28,0,0,2,0,26,0,0,1.00,0.064,0.000,92.641,148.857,31.236,3.029,28.207,0.00,0.00,2,0.716,11,11,24.1,0.000,-7,2,0.000,148.857,1.000,2503,32,1.000,2503,0.1000,0.5000,5.000,3,22.50,0.0000,0.0000,0.000,0.00,444004444444444000444000444442444442
10000,1415376,1,3605,2920,19.39,13,7,1.492,17,25.36,0,5,0,12,0,0,4,0,9,0,0,1.00,0.206,0.719,21.412,144.483,14.049,5.755,8.294,149.50,149.50,4,0.908,14,14,19.0,0.000,-440,2,0.000,144.483,1.000,2854,26,1.000,168,0.1000,0.5000,5.000,14,22.50,0.0000,0.0000,0.000,0.00,2022200444400044040004040000000000000000000000000
10000,1421188,883,3507,2760,6.36,6,8,1.060,30,31.81,0,0,0,30,0,0,0,0,6,0,0,1.00,0.000,0.000,1.306,93.972,47.281,0.332,46.948,0.00,0.00,7,1.000,11,11,28.2,0.000,-32,2,0.000,93.972,1.000,2760,18,1.000,0,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,0000000400000404000004400000000400000000000000000000000000000000
10000,1423649,323,3467,1343,105.17,64,9,1.643,66,108.46,0,23,0,43,0,0,23,0,41,0,0,1.00,0.219,0.165,60.699,120.642,29.452,14.332,15.120,0.00,0.00,1,0.390,11,11,24.3,0.000,-6,2,0.000,120.642,1.000,1343,44,1.000,1343,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,222222222224442222440444422444444422444444422444444002444444002444000000444000000
10000,1426558,1,3419,2014,39.91,32,7,1.050,39,48.31,7,0,0,32,0,6,0,0,26,0,0,2.61,0.000,0.000,14.574,102.935,61.858,6.996,54.862,0.00,0.00,4,0.633,11,11,31.2,0.000,-18,2,0.000,102.935,1.000,2014,24,1.000,2014,0.1000,0.5000,5.000,5,22.50,0.0000,0.0000,0.000,0.00,4444000444400044440004044000444410044441104440111
10000,1436540,246,3265,2353,21.95,15,5,1.463,22,32.20,0,2,0,20,0,0,1,0,14,0,0,1.00,0.046,0.000,18.704,66.780,42.607,12.089,30.518,0.00,0.00,7,0.854,11,11,21.2,0.000,-54,2,0.000,66.780,1.000,2353,34,1.000,0,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,4040044040440444020444400
10000,1438402,854,3240,2066,37.73,21,5,1.797,25,44.92,0,13,0,12,0,0,10,0,11,0,0,1.00,0.265,0.000,8.513,57.476,79.833,59.381,20.452,138.75,138.75,1,0.651,14,7,37.6,0.000,-1572,2,0.000,57.352,1.000,1955,24,1.000,204,0.1000,0.5000,5.000,4,22.50,0.0000,0.0000,0.000,0.00,0002222222244424404244444
10000,1444046,856,3166,1702,47.89,30,7,1.596,43,68.65,0,26,0,17,0,0,13,0,17,0,0,1.00,0.271,0.000,19.403,103.113,18.732,10.323,8.409,101.50,101.50,1,0.578,14,14,35.4,0.000,-522,2,0.000,103.113,1.000,1702,42,1.000,0,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,0000022000002200222022200022440004244444444444444
10000,1446407,856,3135,1592,46.51,29,7,1.604,42,67.37,0,30,0,12,0,0,17,0,12,0,0,1.00,0.365,0.000,14.392,81.108,112.992,102.971,10.021,215.25,215.25,0,0.586,14,14,37.9,0.000,-628,2,0.000,58.431,1.000,1261,38,1.000,362,0.1000,0.5000,5.000,6,22.50,0.0000,0.0000,0.000,0.00,2220000222000022222002200000440002044440224444442
10000,1449016,917,3100,2178,29.56,24,8,1.232,27,33.25,0,12,0,15,0,0,10,0,14,0,0,1.00,0.338,0.000,31.980,112.094,46.566,31.654,14.912,185.50,185.50,3,0.736,13,1,7.8,0.000,-686,2,0.000,105.307,1.000,2129,44,1.000,342,0.1000,0.5000,5.000,7,22.50,0.0000,0.0000,0.000,0.00,2220000020200000222000000220000044000000440000004040000044444444
10000,1451538,856,3066,1697,20.70,13,7,1.592,41,64.48,0,14,1,26,0,0,5,0,8,0,0,1.00,0.242,0.000,10.387,81.417,37.440,27.983,9.457,15.74,77.25,1,0.879,10,10,4.7,0.000,-1,2,0.000,81.417,1.000,1659,24,1.000,87,0.1000,0.5000,5.000,3,22.50,0.0000,0.0000,0.000,0.00,0022224000002400000440000004000004400000040000000
10000,1453096,884,3045,2987,2.00,2,8,1.000,21,20.99,0,4,0,17,0,0,0,0,2,0,0,1.00,0.000,0.000,0.156,119.531,7.528,7.528,0.000,194.25,194.25,2,1.000,11,11,24.2,0.000,-119,1,119.531,0.000,1.000,2987,6,1.000,0,0.1000,0.5000,5.000,12,22.50,0.0000,0.0000,0.000,0.00,0000000000000000000000004400000000000000000000000000000000000000
10000,1453449,323,3040,1756,46.34,28,10,1.655,29,47.99,0,3,0,26,0,0,3,0,25,0,0,1.00,0.065,5.297,42.287,134.021,9.975,0.000,9.975,24.00,24.00,1,0.588,11,11,22.9,0.000,-180,2,0.000,134.021,1.000,1618,32,0.845,409,0.1000,0.5000,5.000,7,22.50,0.0000,0.0000,0.000,0.00,2220000000444400000044044000004444000000444000000044400000004440000000440000000044000000000000000000
10000,1453726,892,3037,1601,56.25,41,7,1.372,49,67.22,0,18,0,31,0,0,10,0,31,0,0,1.00,0.178,0.000,123.420,81.732,121.068,23.440,97.628,2.75,2.75,0,0.533,11,4,27.6,0.000,-9,2,0.000,81.669,1.000,1594,30,1.000,1601,0.1000,0.5000,5.000,2,22.50,0.0000,0.0000,0.000,0.00,0000002022220224444224444442444444444444444444444
10000,1456958,886,2988,2148,28.93,18,5,1.607,25,40.18,0,13,0,12,0,0,6,0,12,0,0,1.00,0.207,0.000,16.578,91.333,16.329,9.180,7.149,110.75,110.75,1,0.744,14,11,32.1,0.000,-839,2,0.000,91.333,1.000,2148,20,1.000,11,0.1000,0.5000,5.000,4,22.50,0.0000,0.0000,0.000,0.00,2000022200444204444244444
10000,1457923,870,2973,1149,106.96,62,8,1.028,64,109.02,42,0,0,22,0,42,0,0,20,0,0,12.69,0.000,0.000,34.412,99.680,12.157,8.449,3.708,0.00,0.00,0,0.387,8,2,18.0,0.722,332,0,0.000,0.000,0.120,0,10,1.000,1149,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,1111111111111111111111111111144411114444111444441114444411144400
10000,1462658,323,2891,1970,29.96,20,10,1.498,25,37.45,0,15,0,10,0,0,10,0,10,0,0,1.00,0.334,0.000,1.365,88.748,28.999,20.829,8.170,232.00,232.00,0,0.731,14,11,32.9,0.000,-733,2,0.000,88.748,1.000,1970,30,1.000,0,0.1000,0.5000,5.000,4,22.50,0.0000,0.0000,0.000,0.00,2000000000200200000022200000002200000000240000000024000000004400000000440000000044000000004400000000
10000,1462671,323,2891,1587,46.38,28,9,1.656,34,56.31,0,12,0,22,0,0,8,0,20,0,0,1.00,0.173,0.607,23.096,66.566,37.047,30.106,6.941,16.75,16.75,4,0.587,11,11,32.2,0.000,-154,2,0.000,66.566,1.000,1587,38,1.000,2,0.1000,0.5000,5.000,3,22.50,0.0000,0.0000,0.000,0.00,222022200224440000440040000444000000444000000440000000440000000440000000440000000
10000,1463447,904,2878,1256,83.93,47,7,1.713,47,83.93,2,36,0,9,0,2,36,0,9,0,0,1.00,0.429,0.000,73.108,66.403,43.539,35.810,7.729,0.00,0.00,0,0.437,11,11,31.4,0.000,-15,2,0.000,66.403,1.000,1256,33,1.000,1256,0.1000,0.5000,5.000,0,22.50,0.0000,0.0000,0.000,0.00,2222222222222222222222220222222012244441224444422
10000,1463901,854,2871,1950,28.75,16,5,1.797,25,44.92,0,13,0,12,0,0,5,0,11,0,0,1.00,0.174,0.102,42.191,71.335,110.959,86.553,24.406,66.25,66.25,1,0.746,11,7,32.9,0.000,-38,2,0.000,50.787,1.000,1447,18,1.000,721,0.1000,0.5000,5.000,15,22.50,0.0000,0.0000,0.000,0.00,0000002220244404444244440
10000,1465792,834,2843,1306,64.80,30,8,1.080,64,101.51,30,13,0,21,4,30,0,0,0,0,0,13.27,0.000,0.000,0.529,70.057,10.576,8.631,1.945,4.75,4.75,0,0.497,8,8,29.7,0.759,385,0,0.000,0.000,0.081,0,0,1.000,1306,0.1000,0.5000,5.000,0,22.50,0.0000,0.0000,0.000,0.00,1111111111111111111111111110001100000001000000000000000000000000
10000,1467121,323,2822,1402,43.77,27,9,1.621,40,64.84,0,20,0,20,0,0,7,0,20,0,0,1.00,0.160,1.373,22.552,104.384,60.916,57.414,3.502,119.50,119.50,0,0.605,14,6,25.3,0.000,-228,2,0.000,104.384,1.000,1375,28,0.338,66,0.1000,0.5000,5.000,8,22.50,0.0000,0.0000,0.000,0.00,222000000222000000244440000444400000444000000444000000440000000440000000440000000
10000,1467796,854,2812,1759,39.94,22,5,1.816,25,45.39,0,12,0,13,0,0,9,0,13,0,0,1.00,0.225,0.000,11.774,60.755,72.478,66.379,6.099,77.75,77.75,0,0.633,14,8,29.4,0.000,-416,2,0.000,57.566,1.000,1543,20,0.115,474,0.1000,0.5000,5.000,10,22.50,0.0000,0.0000,0.000,0.00,2222022220444404444244444
10000,1468125,323,2807,1442,45.39,28,9,1.621,40,64.84,0,20,0,20,0,0,9,0,19,0,0,1.00,0.198,0.000,5.175,72.978,21.214,11.127,10.087,15.50,15.50,1,0.594,11,6,30.4,0.000,-91,2,0.000,72.978,1.000,1406,40,1.000,914,0.1000,0.5000,5.000,2,22.50,0.0000,0.0000,0.000,0.00,000000000022222220244440002444400000404000000444000000440000000440000000440000000
10000,1469833,907,2779,2003,14.64,8,5,1.830,25,45.76,0,18,0,7,0,0,3,0,5,0,0,1.00,0.205,0.000,18.317,52.815,126.319,101.592,24.727,131.50,131.50,1,1.000,11,7,33.2,0.000,-5,2,0.000,26.498,1.000,1390,14,1.000,673,0.1000,0.5000,5.000,9,22.50,0.0000,0.0000,0.000,0.00,0000000000004422244400000
10000,1471411,870,2755,1468,56.25,23,5,1.308,25,58.86,20,0,0,5,0,20,0,0,3,0,0,9.80,0.000,0.000,24.561,42.548,33.298,25.560,7.738,0.00,0.00,0,0.533,8,2,20.0,0.572,464,0,0.000,0.000,0.024,0,2,1.000,1468,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,1111111111114411140111101
10000,1472368,916,2741,1496,24.50,22,8,1.114,64,71.27,0,34,0,30,0,0,12,0,10,0,0,1.00,0.490,0.000,17.286,94.946,33.464,1.472,31.992,0.00,0.00,0,0.808,11,11,36.5,0.000,-5,2,0.000,94.946,1.000,1496,22,1.000,1330,0.1000,0.5000,5.000,0,22.50,0.0000,0.0000,0.000,0.00,0222422202444422224444420000000000000000000000000000000000000000
10000,1473828,323,2720,1524,37.28,23,9,1.621,40,64.84,0,20,0,20,0,0,4,0,19,0,0,1.00,0.107,0.000,58.891,123.300,18.198,7.878,10.320,19.50,19.50,0,0.655,11,11,18.8,0.000,-24,2,0.000,123.300,1.000,1506,24,1.000,632,0.1000,0.5000,5.000,4,22.50,0.0000,0.0000,0.000,0.00,000000000022200000244400000444400000444000000444000000440000000440000000440000000
10000,1474501,917,2710,2597,6.16,5,8,1.232,27,33.25,0,12,0,15,0,0,0,0,5,0,0,1.00,0.000,0.846,18.364,85.977,45.920,0.000,45.920,0.00,0.00,4,1.000,10,10,16.5,0.000,-32,2,0.000,85.977,1.000,2597,16,1.000,0,0.1000,0.5000,5.000,3,22.50,0.0000,0.0000,0.000,0.00,0000000000000000000000000000000000000000440000000040000044000000
10000,1475089,920,2703,2165,22.65,25,9,0.906,50,45.29,0,24,0,26,0,0,10,0,15,0,0,1.00,0.442,0.000,33.414,164.140,1.098,0.000,1.098,0.00,0.00,1,0.841,11,11,33.2,0.000,-23,1,164.140,0.000,1.000,2165,26,1.000,568,0.1000,0.5000,5.000,7,22.50,0.0000,0.0000,0.000,0.00,222200000222200000224400000444000000044000000044000000044400000044400000000000000
10000,1476261,926,2685,2412,10.29,10,7,1.029,26,26.76,0,9,0,17,0,0,2,0,8,0,0,1.00,0.194,0.655,7.223,114.810,41.765,0.000,41.765,57.75,57.75,2,1.000,14,11,29.3,0.000,-554,2,0.000,114.810,1.000,2412,20,1.000,0,0.1000,0.5000,5.000,16,22.50,0.0000,0.0000,0.000,0.00,0000000004220004444004040400000000000000000000000
10000,1477026,1,2674,2182,20.30,10,7,1.068,13,25.64,11,0,0,2,0,9,0,0,1,0,0,4.35,0.000,0.284,13.537,58.836,10.288,9.589,0.699,0.00,0.00,3,0.888,11,11,38.2,0.000,-10,2,0.000,58.836,1.000,2182,4,1.000,2182,0.1000,0.5000,5.000,0,22.50,0.0000,0.0000,0.000,0.00,1110000110000010000001000000100000004000001000000
10000,1477355,916,2670,2602,1.01,1,8,1.007,32,22.16,0,0,20,12,0,0,0,0,1,0,0,1.00,0.000,0.000,2.094,78.737,21.307,0.000,21.307,0.00,0.00,2,1.000,11,11,37.6,0.000,-31,2,0.000,78.737,1.000,2602,4,1.000,0,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,0000000000000000000000000000000400000000000000000000000000000000
10000,1477899,1,2662,2436,6.36,6,7,1.060,21,22.27,0,5,0,16,0,0,0,0,6,0,0,1.00,0.000,0.000,1.313,65.406,40.439,9.814,30.626,34.50,34.50,1,1.000,11,11,37.8,0.000,-49,2,0.000,65.406,1.000,2271,14,1.000,273,0.1000,0.5000,5.000,3,22.50,0.0000,0.0000,0.000,0.00,0000000000000000000000000000004000040400004440000
10000,1478078,892,2659,1281,67.91,48,7,1.415,49,69.32,0,0,0,49,0,0,0,0,48,0,0,1.00,0.000,0.000,123.125,137.234,59.301,11.169,48.132,0.00,0.00,1,0.485,11,11,27.4,0.000,-10,2,0.000,137.220,1.000,1281,32,1.000,1281,0.1000,0.5000,5.000,4,22.50,0.0000,0.0000,0.000,0.00,4444444444444444444444444444444440444444444444444
10000,1478867,881,2649,2049,24.14,16,6,1.509,18,27.15,0,7,0,11,0,0,5,0,11,0,0,1.00,0.207,0.000,23.358,85.688,23.961,16.598,7.362,131.25,131.25,1,0.814,11,11,38.0,0.000,-69,2,0.000,85.688,1.000,2049,20,1.000,0,0.1000,0.5000,5.000,6,22.50,0.0000,0.0000,0.000,0.00,022000222000440000444000444000444000
10000,1479115,916,2646,2646,5.62,5,8,1.125,14,15.75,0,3,0,11,0,0,2,0,3,0,0,1.00,0.356,0.000,3.284,70.695,12.594,2.890,9.704,0.00,0.00,6,1.000,11,11,32.2,0.000,-199,2,0.000,70.695,1.000,2646,10,1.000,0,0.1000,0.5000,5.000,0,22.50,0.0000,0.0000,0.000,0.00,0000022000000444000000000000000000000000000000000000000000000000
10000,1479664,920,2639,2262,19.82,22,9,0.901,60,54.07,0,0,0,60,0,0,0,0,22,0,0,1.00,0.000,0.000,41.511,141.487,1.788,1.788,0.000,0.00,0.00,2,0.898,11,11,31.2,0.000,-72,1,141.487,0.000,1.000,2262,36,1.000,0,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,004444444004000000004400000004400000004440000004400000004400000004400000000400000
10000,1480305,917,2630,1725,36.77,27,7,1.362,29,39.49,0,17,0,12,0,0,15,0,12,0,0,1.00,0.408,0.268,30.120,94.081,28.953,16.895,12.058,146.75,146.75,0,0.660,14,6,33.6,0.000,-801,2,0.000,79.034,1.000,1607,28,1.000,154,0.1000,0.5000,5.000,4,22.50,0.0000,0.0000,0.000,0.00,2222022222222224444002444000444400040000000000000
10000,1482387,929,2604,1572,27.25,17,7,1.603,44,70.54,0,27,0,17,0,0,8,0,9,0,0,1.00,0.294,0.000,21.501,81.612,82.267,63.918,18.348,122.50,122.50,0,0.766,11,10,35.6,0.000,-129,2,0.000,44.893,1.000,992,32,1.000,611,0.1000,0.5000,5.000,8,22.50,0.0000,0.0000,0.000,0.00,0000000000000000222000200022220044444400004440000
10000,1486857,854,2550,2108,23.17,16,5,1.448,25,36.20,0,17,0,8,0,0,9,0,7,0,0,1.00,0.388,0.000,36.360,68.104,28.408,17.984,10.424,171.25,171.25,0,0.831,14,11,35.2,0.000,-348,2,0.000,68.104,1.000,2108,18,1.000,0,0.1000,0.5000,5.000,0,22.50,0.0000,0.0000,0.000,0.00,0000000022044422444222422
10000,1490451,246,2508,1785,29.27,20,5,1.463,22,32.20,0,2,0,20,0,0,2,0,18,0,0,1.00,0.068,0.000,1.878,57.941,5.991,1.807,4.184,0.00,0.00,2,0.739,11,11,21.2,0.000,-40,2,0.000,57.941,1.000,1785,26,1.000,0,0.1000,0.5000,5.000,0,22.50,0.0000,0.0000,0.000,0.00,4044444444042444420444400
10000,1490630,68,2506,2428,5.68,5,9,1.137,26,29.55,0,0,0,26,0,0,0,0,5,0,0,1.00,0.000,0.000,0.524,29.271,101.239,0.517,100.722,0.00,0.00,1,1.000,6,4,23.7,0.515,18,0,0.000,29.271,1.000,2428,12,1.000,2428,0.1000,0.5000,5.000,13,22.50,0.0000,0.0000,0.000,0.00,440000000400000000440000000000000000000000000000000000000000000000000000000000000
10000,1490851,916,2504,2225,4.01,4,7,1.001,49,49.07,0,6,0,43,0,0,0,0,4,0,0,1.00,0.000,0.000,18.937,95.111,63.500,0.000,63.500,0.00,0.00,0,1.000,11,11,37.1,0.000,-18,2,0.000,95.111,1.000,2225,10,1.000,0,0.1000,0.5000,5.000,5,22.50,0.0000,0.0000,0.000,0.00,0000000000000044000000400000040000000000000000000
10000,1491519,323,2496,1178,70.98,41,9,1.731,42,72.71,0,9,0,33,0,0,9,0,32,0,0,1.00,0.127,4.272,63.598,102.896,35.613,21.098,14.515,8.00,8.00,1,0.475,11,11,32.2,0.000,-64,2,0.000,102.896,1.000,1178,40,0.979,1093,0.1000,0.5000,5.000,6,22.50,0.0000,0.0000,0.000,0.00,222222222444444000444444000444400000444000000444000000044000000444400000444400000
10000,1493996,870,2464,1308,55.49,32,6,1.321,33,56.81,10,7,0,16,5,10,6,0,16,4,4,3.83,0.108,0.000,32.548,84.049,39.571,17.296,22.276,22.25,22.25,1,0.537,10,2,11.7,0.000,-46,2,0.000,1.792,1.000,673,19,0.740,1244,0.1000,0.5000,5.000,4,22.50,0.0000,0.0000,0.000,0.00,111111111222104442044440044442444442
10000,1494176,881,2462,1621,36.84,24,7,1.535,25,38.37,0,6,0,19,0,0,5,0,19,0,0,1.00,0.136,0.000,7.934,74.158,1.229,0.354,0.874,53.25,53.25,0,0.659,1,11,-9.0,0.762,31,0,0.000,74.158,0.946,1551,22,1.000,411,0.1000,0.5000,5.000,1,22.50,0.0000,0.0000,0.000,0.00,2200000222000044400004444000444400044440004444000
10000,1494232,904,2461,1964,14.77,10,9,1.477,73,107.83,0,55,0,18,0,0,0,0,10,0,0,1.00,0.000,0.000,17.301,94.428,23.677,14.319,9.358,32.75,26.25,2,1.000,10,11,15.1,0.000,-192,2,0.000,94.428,1.000,1964,14,1.000,456,0.1000,0.5000,5.000,7,22.50,0.0000,0.0000,0.000,0.00,000000000000000000000000000000000000000000000000000000000000000444440000444440000
